Product_Supermarket_Identifier,Product_Supermarket_Sales
DRA59_CHUKWUDI010,1907.1241182953818
DRA59_CHUKWUDI013,7135.329801224172
DRB01_CHUKWUDI013,7221.235549094155
DRB13_CHUKWUDI010,2230.8212371984264
DRB13_CHUKWUDI013,7321.170382320881
DRB25_CHUKWUDI017,5174.799887298723
DRB25_CHUKWUDI027,7456.227468361962
DRB25_CHUKWUDI035,3614.357355891145
DRB48_CHUKWUDI017,2722.4073039137293
DRB48_CHUKWUDI027,3742.9669070747914
DRB48_CHUKWUDI035,1117.67067139165
DRB48_CHUKWUDI046,2085.123100379482
DRB48_CHUKWUDI049,1425.8027839671122
DRC01_CHUKWUDI017,3137.8353374688886
DRC01_CHUKWUDI018,-408.06248408195097
DRC01_CHUKWUDI027,4248.176580485655
DRC01_CHUKWUDI045,2550.5234228201443
DRC01_CHUKWUDI046,2349.476901592454
DRC13_CHUKWUDI035,4526.929892139742
DRC13_CHUKWUDI045,5167.370698252227
DRC25_CHUKWUDI018,1622.6525055179372
DRC25_CHUKWUDI019,-525.886499097338
DRC25_CHUKWUDI027,6512.4180949715665
DRC25_CHUKWUDI045,3630.8835648718523
DRC25_CHUKWUDI046,3710.6299176375614
DRC27_CHUKWUDI010,2871.978922574315
DRC27_CHUKWUDI018,11121.89036867267
DRC27_CHUKWUDI049,10635.197806954733
DRC36_CHUKWUDI013,6785.3676873267395
DRD01_CHUKWUDI017,3335.372268231353
DRD01_CHUKWUDI018,39.90725802152883
DRD01_CHUKWUDI035,1719.0098833917873
DRD01_CHUKWUDI045,2714.6431371165672
DRD01_CHUKWUDI049,2061.5511582099134
DRD12_CHUKWUDI017,4506.392966244486
DRD12_CHUKWUDI018,2216.257323413156
DRD12_CHUKWUDI027,6634.024299104465
DRD12_CHUKWUDI035,3043.5351778591285
DRD12_CHUKWUDI045,3788.247433305951
DRD12_CHUKWUDI046,3817.9403693508357
DRD13_CHUKWUDI017,3509.675576620153
DRD13_CHUKWUDI018,484.1648940121522
DRD13_CHUKWUDI027,5027.326919073821
DRD13_CHUKWUDI035,1847.1205188860185
DRD13_CHUKWUDI045,2961.2897336275782
DRD13_CHUKWUDI049,2504.376531626447
DRD15_CHUKWUDI010,2658.3017931012437
DRD15_CHUKWUDI013,8756.888853111537
DRD15_CHUKWUDI046,9501.93042435078
DRD15_CHUKWUDI049,9949.489548673853
DRD24_CHUKWUDI027,9691.315412003663
DRD25_CHUKWUDI027,7863.3832024261355
DRD25_CHUKWUDI035,3805.135982891312
DRD25_CHUKWUDI045,4533.6869846022455
DRD27_CHUKWUDI017,4931.263930287096
DRD27_CHUKWUDI019,-320.1879189587198
DRD27_CHUKWUDI045,4180.551125273225
DRD37_CHUKWUDI017,2888.5985781749478
DRD37_CHUKWUDI018,-607.2205151311355
DRD37_CHUKWUDI045,2369.512102727196
DRD37_CHUKWUDI046,2151.3592973431805
DRD37_CHUKWUDI049,1619.2320878788596
DRD49_CHUKWUDI046,9781.68527558446
DRD60_CHUKWUDI013,6947.57546311419
DRE01_CHUKWUDI010,2603.270914050401
DRE01_CHUKWUDI046,9716.607274597161
DRE03_CHUKWUDI017,2921.279537702212
DRE03_CHUKWUDI018,-502.67421452712733
DRE03_CHUKWUDI035,1203.6358101922087
DRE03_CHUKWUDI045,2278.1476158773294
DRE03_CHUKWUDI046,2278.1920254476136
DRE03_CHUKWUDI049,1675.2121587485308
DRE12_CHUKWUDI027,7860.36010306573
DRE12_CHUKWUDI035,3812.2160784293665
DRE12_CHUKWUDI045,4633.125044850982
DRE13_CHUKWUDI027,6395.4676524889655
DRE13_CHUKWUDI035,2906.062177208718
DRE13_CHUKWUDI045,3687.0061409886694
DRE13_CHUKWUDI049,3454.9367840820923
DRE15_CHUKWUDI017,4068.8118009686004
DRE15_CHUKWUDI018,1199.758676982252
DRE15_CHUKWUDI019,-739.0987649939489
DRE15_CHUKWUDI027,5642.370890060556
DRE15_CHUKWUDI045,3319.5076405839063
DRE15_CHUKWUDI046,3437.229649715009
DRE25_CHUKWUDI017,4819.741314005922
DRE25_CHUKWUDI027,6746.068080359837
DRE25_CHUKWUDI035,3038.8028451167047
DRE27_CHUKWUDI035,3098.6558255035197
DRE27_CHUKWUDI045,3896.3307897733757
DRE48_CHUKWUDI013,7515.665455061244
DRE48_CHUKWUDI046,8204.071959452587
DRE60_CHUKWUDI013,8447.869928008062
DRF03_CHUKWUDI018,-1032.2838041742798
DRF03_CHUKWUDI027,3503.914154438069
DRF03_CHUKWUDI035,894.52705947496
DRF03_CHUKWUDI045,2002.2862326671602
DRF03_CHUKWUDI046,1995.4806056355592
DRF03_CHUKWUDI049,1463.342064005672
DRF25_CHUKWUDI019,-1439.9748567926
DRF25_CHUKWUDI027,3410.5488256945973
DRF25_CHUKWUDI035,784.3156530936249
DRF25_CHUKWUDI045,1949.2505219392478
DRF25_CHUKWUDI046,1701.5458362045465
DRF25_CHUKWUDI049,1117.2055849389872
DRF36_CHUKWUDI010,2127.5952515910612
DRF37_CHUKWUDI013,9805.375980470213
DRF37_CHUKWUDI018,12121.309969525551
DRF37_CHUKWUDI035,9992.483051797724
DRF37_CHUKWUDI045,10065.8941956606
DRF49_CHUKWUDI035,4158.894473602064
DRF49_CHUKWUDI045,4584.089888658375
DRF51_CHUKWUDI018,-1399.3339833884966
DRF51_CHUKWUDI045,1701.0626457619946
DRF51_CHUKWUDI046,1565.2306767024565
DRF60_CHUKWUDI018,10770.440121752676
DRF60_CHUKWUDI049,10348.6818511663
DRG01_CHUKWUDI019,-676.4752616543556
DRG01_CHUKWUDI027,5640.832126853871
DRG01_CHUKWUDI035,2444.528679697425
DRG01_CHUKWUDI046,3322.410614542896
DRG11_CHUKWUDI045,4344.705996439909
DRG15_CHUKWUDI017,3405.2934318936896
DRG15_CHUKWUDI035,1638.8236633596243
DRG15_CHUKWUDI045,2696.778286774759
DRG15_CHUKWUDI046,2691.9583522997564
DRG15_CHUKWUDI049,2144.964934834512
DRG25_CHUKWUDI013,7079.701005726005
DRG27_CHUKWUDI018,-885.0287038054084
DRG27_CHUKWUDI019,-1453.4726294355933
DRG27_CHUKWUDI045,1856.6750750020146
DRG27_CHUKWUDI046,1811.22291744838
DRG27_CHUKWUDI049,1249.3348625524668
DRG36_CHUKWUDI013,6546.254296077765
DRG39_CHUKWUDI018,-369.9281734309625
DRG39_CHUKWUDI046,2363.0840064780787
DRG39_CHUKWUDI049,1983.9125228523044
DRG49_CHUKWUDI010,2830.2775997803546
DRG49_CHUKWUDI018,10901.919665664085
DRH03_CHUKWUDI018,2130.191449429025
DRH03_CHUKWUDI019,-453.8895368477097
DRH03_CHUKWUDI035,3050.4138004059205
DRH11_CHUKWUDI027,4416.908903694362
DRH11_CHUKWUDI045,2737.789939544513
DRH11_CHUKWUDI049,1886.2106958718505
DRH13_CHUKWUDI019,-116.98597805656027
DRH13_CHUKWUDI045,4410.143581718672
DRH15_CHUKWUDI018,-1043.83982997376
DRH15_CHUKWUDI019,-1428.6790559164947
DRH15_CHUKWUDI046,1836.4176735245856
DRH23_CHUKWUDI017,2914.2506868410856
DRH23_CHUKWUDI019,-1288.0026308229426
DRH23_CHUKWUDI045,2370.2006594226696
DRH23_CHUKWUDI049,2071.3317629900994
DRH25_CHUKWUDI017,3141.6491905185394
DRH25_CHUKWUDI027,4247.066037295037
DRH25_CHUKWUDI035,1542.2404717173195
DRH25_CHUKWUDI045,2563.3580325603252
DRH36_CHUKWUDI017,4017.7471007262357
DRH36_CHUKWUDI019,-758.6165153000038
DRH36_CHUKWUDI035,2369.676148508559
DRH36_CHUKWUDI045,3292.238450753386
DRH36_CHUKWUDI046,3289.577877156902
DRH39_CHUKWUDI017,3869.578420568141
DRH39_CHUKWUDI019,-693.045515815611
DRH39_CHUKWUDI027,5550.705999681377
DRH39_CHUKWUDI046,3498.017083619139
DRH39_CHUKWUDI049,3003.9962902006228
DRH49_CHUKWUDI018,1620.2533373525366
DRH49_CHUKWUDI019,-568.4012132197386
DRH49_CHUKWUDI046,3724.0244536164682
DRH51_CHUKWUDI019,-581.1218425707193
DRH51_CHUKWUDI027,6586.379137405776
DRH51_CHUKWUDI035,2885.683909114683
DRH51_CHUKWUDI049,3515.144907489652
DRH59_CHUKWUDI046,3234.688911524834
DRH59_CHUKWUDI049,2839.565952604753
DRI01_CHUKWUDI013,6563.505123128067
DRI03_CHUKWUDI013,6756.181844664272
DRI11_CHUKWUDI027,7953.580405311426
DRI11_CHUKWUDI035,4012.1183614209294
DRI11_CHUKWUDI045,4762.251069948077
DRI13_CHUKWUDI013,8266.937869885121
DRI13_CHUKWUDI018,9576.719313668902
DRI13_CHUKWUDI046,8969.41992622742
DRI25_CHUKWUDI017,3566.274851985043
DRI25_CHUKWUDI027,4583.101186688989
DRI25_CHUKWUDI045,2638.5261575358454
DRI25_CHUKWUDI046,2594.2024843590334
DRI25_CHUKWUDI049,2143.3593961247243
DRI37_CHUKWUDI017,3233.7261538933963
DRI37_CHUKWUDI018,-113.1077588093467
DRI37_CHUKWUDI027,4522.351677411585
DRI37_CHUKWUDI046,2567.7242290133145
DRI37_CHUKWUDI049,2190.8118818606017
DRI39_CHUKWUDI017,3079.987819677801
DRI39_CHUKWUDI018,-15.931414363789372
DRI39_CHUKWUDI027,4281.721460272092
DRI39_CHUKWUDI035,1555.3129754309775
DRI49_CHUKWUDI018,1224.0163594246842
DRI49_CHUKWUDI035,2454.7404112527147
DRI49_CHUKWUDI045,3301.2652667179937
DRI49_CHUKWUDI046,3382.7492966114078
DRJ11_CHUKWUDI010,1951.373930369271
DRJ11_CHUKWUDI013,7125.272262031678
